,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
10,95 2.4 JA AUTO OBDII 50 STATE HIGH SPEED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606087, 04606146",04606186,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
11,98 JA 2.0L AUTO FED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606200AA, 04606200AB, 04606200AC, 04606200AD, 04606200AE, 04606200AF, 04606200AG, 04606200AH, 04606200AI, 04606200AJ, 05066123AB",04606200AK,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
12,95 2.0 JA FEDERAL MANUAL 108 MPH JA - BREEZE/STRATUS/CIRRUS,PCM,"04606096, 04606097, 04606524, 04606601, 04606719",04606273,1995,JA,JA - BREEZE/STRATUS/CIRRUS,2,
14,98 FJ 2.5L FED,PCM,"04606278AA, 04606278AB, 04606278AC, 04606278AD, 04606278AE, 04606278AF, 04606278AG, 04606278AH, 04606278AI, 04606278AJ, 05017959AA",04606278AK,1998,,,0,2.5L
15,98 JA 2.0L AUTO LEV JA - BREEZE/STRATUS/CIRRUS,PCM,"04606301AA, 04606301AB, 04606301AC, 04606301AD, 04606301AE, 04606301AF, 04606301AG, 04606301AH, 04606301AI, 04606301AJ, 04606301AK, 04606301AL, 05066123AB",04606301AM,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
16,98 JA 2.0L MAN FED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606302AA, 04606302AB, 04606302AC, 04606302AD, 04606302AE, 04606302AF, 04606302AG, 04606302AH, 04606302AI, 04606302AJ, 05066123AB",04606302AK,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
17,98 JA 2.4L TLEV JA - BREEZE/STRATUS/CIRRUS,PCM,"04606311AA, 04606311AB, 04606311AC, 04606311AD, 04606311AE, 04606311AF, 04606311AG, 04606311AH, 04606311AI, 04606311AJ, 04606311AK, 04606311AL, 05066123AB",04606311AM,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
18,96 2.5 JA AUTO EURO JA - BREEZE/STRATUS/CIRRUS,PCM,"04606194, 04606259, 04606385",04606315,1996,JA,JA - BREEZE/STRATUS/CIRRUS,2,
19,97 FJ-22 2.5L,PCM,"04606319AA, 04606319AB, 04606319AC, 05017956AA",04606319AD,1997,,,0,2.5L
20,97 FJ 2.5L,PCM,"04606328AA, 04606328AB",04606328AC,1997,,,0,2.5L
21,98 FJ 2.5L TLEV,PCM,"04606337AA, 04606337AB, 04606337AC, 04606337AD, 04606337AE, 04606337AF, 04606337AG, 04606337AH, 04606337AI, 04606337AJ, 05017959AA",04606337AK,1998,,,0,2.5L
22,97 JA 2.5L NORM SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606386AA, 04606386AB, 04606386AC, 04606386AD, 04606386AE, 04606386AF, 04606386AG, 05017955AA",04606386AH,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
24,98 JA 2.4L FED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606410AA, 04606410AB, 04606410AC, 04606410AD, 04606410AE, 04606410AF, 04606410AG, 04606410AH, 04606410AI, 04606410AJ, 05066123AB",04606410AK,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
25,99 JA 2.0L M5 FED LDP JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606433AD,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
26,99 JA 2.5L FED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606438AA, 04606438AB, 04606438AC, 04606438AD, 04606438AE, 05017958AC",04606438AF,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
27,99 JA 2.5L TLEV JA - BREEZE/STRATUS/CIRRUS,PCM,"04606439AA, 04606439AB, 04606439AC, 04606439AD, 04606439AE, 05017958AC",04606439AF,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
28,97 LH EATXIII NON AUTOSTICK LH - INTREPID/CONCORDE/300M,TCM,"04606101, 04606423, 04606455AA, 04606455AB",04606455AC,1997,LH,LH - INTREPID/CONCORDE/300M,2,
29,97 LH EATXIII AUTOSTICK LH - INTREPID/CONCORDE/300M,TCM,"04606102, 04606424, 04606456AA, 04606456AB",04606456AC,1997,LH,LH - INTREPID/CONCORDE/300M,2,
30,"98 JA, JX, J2 EATXIIIA WITHOUT AUTOSTICK JA - BREEZE/STRATUS/CIRRUS",TCM,"04606468AA, 04606468AB, 04606468AC, 04606468AD, 04606468AE, 04606468AF, 04606468AG, 04606468AH, 04606468AI, 04606468AJ",04606468AK,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,
31,97 JA / JX / J2 / J4 EATXIII NON AUTOSTICK JA - BREEZE/STRATUS/CIRRUS,TCM,"04606290, 04606434, 04606473AA, 04606473AB",04606473AC,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,
32,97 JA / JX / J2 / J4 EATXIII AUTOSTICK JA - BREEZE/STRATUS/CIRRUS JT - SEBRING CONVERTIBLE JX - SEBRING JXI CONVERTIBLE JX - SEBRING JXI CONVERTIBLE JX - SEBRING JXI CONVERTIBLE,TCM,"04606291, 04606435, 04606447AA, 04606474AA, 04606474AB",04606474AC,1997,"JX, JT, JA","JA - BREEZE/STRATUS/CIRRUS, JT - SEBRING CONVERTIBLE, JX - SEBRING JXI CONVERTIBLE, JX - SEBRING JXI CONVERTIBLE, JX - SEBRING JXI CONVERTIBLE",10,
33,97 JA 2.0L MAN. 50 ST. HIGH SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606481AA, 04606481AB, 04606481AC, 05017955AA",04606481AD,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
34,97 JA 2.0L MAN. 50 ST. NORM SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606482AA, 04606482AB, 04606482AC, 05017955AA",04606482AD,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
35,97 JA 2.4L AUTO 50 ST. NORM. SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606483AA, 04606483AB, 04606483AC, 05017955AA",04606483AD,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
36,97 JA 2.4L AUTO 50 ST. HIGH SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606484AA, 04606484AB, 04606484AC, 05017955AA",04606484AD,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
37,99 FJ 2.5L TLEV,PCM,"04606498AC, 04606498AD, 05017959AA",04606498AE,1999,,,0,2.5L
38,99 FJ EATX3A,TCM,04606503AA,04606503AB,1999,,,0,
40,98 JA 2.0L MAN 50S JA - BREEZE/STRATUS/CIRRUS,PCM,"04606514AA, 04606514AB, 04606514AC, 04606514AD, 04606514AE, 04606514AF, 04606514AG, 04606514AH, 04606514AI, 04606514AJ, 04606514AK, 04606514AL, 05066123AB",04606514AM,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
41,99-2000 LH EATX3A AUTOSTICK LH - INTREPID/CONCORDE/300M,TCM,"04606517AA, 04606517AB, 04606517AC, 04606517AD, 04606517AE, 04606936AB, 04606936AC, 04606936AD",04606517AF,1999,LH,LH - INTREPID/CONCORDE/300M,2,
42,99 JA 2.0L M5 FED W/O LDP JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606531AD,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
43,96 2.0 JA MANUAL TRANS EXPORT JA - BREEZE/STRATUS/CIRRUS,PCM,"04606230, 04606340",04606540,1996,JA,JA - BREEZE/STRATUS/CIRRUS,2,
44,2000 JA 2.4L AUTO LEV JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606557AA,2000,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
45,2000 JA 2.5L AUTO TLEV JA - BREEZE/STRATUS/CIRRUS,PCM,05017958AC,04606559AA,2000,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
46,2000 JX 2.5L AUTO TLEV,PCM,05017958AC,04606573AA,2000,JX,,2,2.5L
47,97 JA 2.0L AUTO 50 ST. NORM SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606580AA, 04606580AB, 04606580AC, 05017955AA",04606580AD,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
48,"98 JA, JX, J2, J4 EATXIIIA WITH AUTOSTICK JA - BREEZE/STRATUS/CIRRUS",TCM,"04606469AA, 04606469AB, 04606469AC, 04606469AD, 04606469AE, 04606469AF, 04606469AG, 04606469AH, 04606469AI, 04606583AA",04606583AB,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,
49,2000 LH 2.7L LEV LH - INTREPID/CONCORDE/300M,PCM,"04606614AA, 04606614AB, 04606614AC, 04606614AD, 04606614AE, 04606614AF, 04606614AG, 05066078AA",04606614AI,2000,LH,LH - INTREPID/CONCORDE/300M,2,2.7L
50,98 JA 2.5L TLEV JA - BREEZE/STRATUS/CIRRUS,PCM,"04606628AA, 04606628AB, 04606628AC, 04606628AD, 04606628AE, 04606628AF, 04606628AG, 04606628AH, 04606628AI, 04606628AJ, 04606628AK, 04606628AL, 04606628AM, 04606628AN, 04606628AO, 05017958AC",04606628AP,1998,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
51,99 JA 2.4L TLEV JA - BREEZE/STRATUS/CIRRUS,PCM,"04606637AA, 04606637AB, 04606637AC, 04606637AD, 04606637AE, 04606637AF, 04606637AG, 05066123AB",04606637AH,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
52,2000 JA 2.4L AUTO FED JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606656AA,2000,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
53,2000 JA 2.5L AUTO FED JA - BREEZE/STRATUS/CIRRUS,PCM,05017958AC,04606658AA,2000,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
55,99 LH 2.7L BUX LH - INTREPID/CONCORDE/300M,PCM,"04606675AC, 04606675AD, 04606675AE, 04606675AF, 04606675AG, 04606675AH, 05066078AA",04606675AI,1999,LH,LH - INTREPID/CONCORDE/300M,2,2.7L
56,2000 LH 2.7L FED LH - INTREPID/CONCORDE/300M,PCM,"04606682AA, 04606682AB, 04606682AC, 04606682AD, 05066078AA",04606682AF,2000,LH,LH - INTREPID/CONCORDE/300M,2,2.7L
57,2002 LH 3.5L NLEV 132MPH EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606683AA, 04606683AB, 04606683AC, 04606683AD, 04606683AE, 04606683AF, 04606683AG, 04606683AH, 04606683AI",04606683AJ,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
58,97 JA 2.5L HIGH SPD. RATED TIRES JA - BREEZE/STRATUS/CIRRUS,PCM,"04606685AA, 04606685AB, 04606685AC, 04606685AD, 04606685AE, 04606685AF, 04606685AG, 05017955AA",04606685AH,1997,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.5L
59,"97 LH 3.3L AUTO TLEV CALIF, MASS & NY LH - INTREPID/CONCORDE/300M",PCM,"04606760AA, 04606760AB, 04606760AC, 04606760AD, 04606760AE, 05017957AA",04606760AF,1997,LH,LH - INTREPID/CONCORDE/300M,2,3.3L
60,97 LH 3.3L AUTO FED LH - INTREPID/CONCORDE/300M,PCM,"04606761AA, 04606761AB, 04606761AC, 04606761AD, 04606761AE, 05017957AA",04606761AF,1997,LH,LH - INTREPID/CONCORDE/300M,2,3.3L
61,97 LH 3.5L AUTO 50S 108MPH LH - INTREPID/CONCORDE/300M,PCM,"04606762AA, 04606762AB, 04606762AC, 04606762AD, 04606762AE, 04606762AF, 04606762AG, 05017957AA",04606762AH,1997,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
62,97 LH 3.5L AUTO 50S 128MPH LH - INTREPID/CONCORDE/300M,PCM,"04606763AA, 04606763AB, 04606763AC, 04606763AD, 04606763AE, 04606763AF, 04606763AG, 05017957AA",04606763AH,1997,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
63,99 LH 2.7L GCC LH - INTREPID/CONCORDE/300M,PCM,"04606785AC, 04606785AD, 04606785AE, 04606785AF, 05066078AA",04606785AG,1999,LH,LH - INTREPID/CONCORDE/300M,2,2.7L
64,2002 LH 3.5L GCC 132MPH EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606789AA, 04606789AB, 04606789AC, 04606789AD, 04606789AE",04606789AF,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
65,2003 2004 JR 2.4L AUTO MEX JR - STRATUS/SEBRING,PCM,"04606802AA, 04606802AB, 04606802AC, 04606802AD, 04896688AC, 04896688AD, 04896688AE, 04896688AF, 04896688AH",04606802AE,"2003, 2004",JR,JR - STRATUS/SEBRING,2,2.4L
67,2003 2004 JR 2.0L M5 EURO 3 W/V RATED TIRES JR - STRATUS/SEBRING,PCM,"04606803AA, 04606803AB, 04606803AC, 04896689AC, 04896689AD, 04896689AE, 04896689AF, 04896689AG",04606803AD,"2003, 2004",JR,JR - STRATUS/SEBRING,2,2.0L
68,2003 2004 JR 2.0L M5 EURO 3 W/T RATED TIRES JR - STRATUS/SEBRING,PCM,"04606804AA, 04606804AB, 04606804AC, 04896690AD, 04896690AE, 04896690AF, 04896690AG, 04896690AH",04606804AD,"2003, 2004",JR,JR - STRATUS/SEBRING,2,2.0L
69,2003 2004 JR 2.0L M5 MEX JR - STRATUS/SEBRING,PCM,"04606805AA, 04606805AB, 04606805AC, 04606805AD, 04896692AC, 04896692AD, 04896692AE, 04896692AF, 04896692AG",04606805AE,"2003, 2004",JR,JR - STRATUS/SEBRING,2,2.0L
70,2000 LH 3.2L RT FED/CAN UNLIMITED LH - INTREPID/CONCORDE/300M,PCM,05066079AA,04606806AA,2000,LH,LH - INTREPID/CONCORDE/300M,2,3.2L
71,99 LH 3.5L FED/CAN LTD LH - INTREPID/CONCORDE/300M,PCM,"04606810AA, 04606810AB, 04606810AC, 04606810AD, 04606810AE, 04606810AF, 04606810AG, 04606810AH, 04606810AI, 04606810AJ, 04606810AK, 04606810AL, 04606810AM, 04606810AN, 04606810AO, 04606810AP, 04606810AQ, 05066079AA",04606810AR,1999,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
72,2003 JR 2.7L EATX3B JR - STRATUS/SEBRING,TCM,"04606817AB, 04606817AC, 04896696AB, 04896696AC",04606817AD,2003,JR,JR - STRATUS/SEBRING,2,2.7L
73,99 JA 2.4L FED JA - BREEZE/STRATUS/CIRRUS,PCM,"04606836AA, 04606836AB, 04606836AC, 04606836AD, 04606836AE, 04606836AF, 05066123AB",04606836AG,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.4L
74,99 LH 3.5L TLEV LTD LH - INTREPID/CONCORDE/300M,PCM,"04606840AA, 04606840AB, 04606840AC, 04606840AD, 04606840AE, 04606840AF, 04606840AG, 04606840AH, 04606840AI, 04606840AJ, 04606840AK, 04606840AL, 04606840AM, 04606840AN, 04606840AO, 04606840AP, 04606840AQ, 05066079AA",04606840AR,1999,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
75,2000 JA 2.0L AUTO LEV JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606852AB,2000,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
76,2002 LH 3.5L RT MEX 132MPH EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606871AA, 04606871AB, 04606871AC, 04606871AD, 04606871AE",04606871AF,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
78,2002 LH 3.5L HO MEX 132MPH EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606872AA, 04606872AB",04606872AC,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
79,2002 LH 3.5L NLEV 132MPH WO EGR EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606873AA, 04606873AB",04606873AC,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
80,2002 LH 3.5L LOW OUTPUT WO EGR EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606876AA, 04606876AB",04606876AC,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
81,2002 LH 2.7L NLEV 108MPH WO EGR EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606877AA, 04606877AB",04606877AC,2002,LH,LH - INTREPID/CONCORDE/300M,2,2.7L
82,2002 LH 3.5L RT NLEV 132MPH WO EGR EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606878AA, 04606878AB",04606878AC,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
83,2002 LH 3.5L POLICE 136MPH CAT WO EGR EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606879AA, 04606879AB, 04606879AC, 04606879AD",04606879AE,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
84,99 LH 3.5L TLEV LH - INTREPID/CONCORDE/300M,PCM,"04606890AA, 04606890AB, 04606890AC, 04606890AD, 04606890AE, 05066079AA",04606890AF,1999,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
85,2001 LH 3.2L NLEV 114 MPH LH - INTREPID/CONCORDE/300M,PCM,"04606892AA, 04606892AB, 04606892AC",04606892AD,2001,LH,LH - INTREPID/CONCORDE/300M,2,3.2L
86,2002 LH 3.5L LOW OUTPUT EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606904AA, 04606904AB, 04606904AC, 04606904AD, 04606904AE, 04606904AF, 04606904AG, 04606904AH",04606904AI,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
87,2002 LH 3.5L LOW OUTPUT MEX EARLY LH - INTREPID/CONCORDE/300M,PCM,"04606905AA, 04606905AB, 04606905AC, 04606905AD",04606905AE,2002,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
88,2001 JR EATX3B JR - STRATUS/SEBRING,TCM,"04606926AH, 04606926AI",04606926AJ,2001,JR,JR - STRATUS/SEBRING,2,
89,99 JA 2.0L AUTO LEV JA - BREEZE/STRATUS/CIRRUS,PCM,05066123AB,04606932AE,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,2.0L
90,99 JA/JX EATX3A JA - BREEZE/STRATUS/CIRRUS JX - SEBRING JXI CONVERTIBLE JX - SEBRING JXI CONVERTIBLE JX - SEBRING JXI CONVERTIBLE,TCM,04606962AC,04606962AD,1999,"JX, JA","JA - BREEZE/STRATUS/CIRRUS, JX - SEBRING JXI CONVERTIBLE, JX - SEBRING JXI CONVERTIBLE, JX - SEBRING JXI CONVERTIBLE",6,
91,99 JA EATX3A AUTOSTICK JA - BREEZE/STRATUS/CIRRUS,TCM,04606963AC,04606963AD,1999,JA,JA - BREEZE/STRATUS/CIRRUS,2,
92,2000 JX 2.5L AUTO FED JX - SEBRING JXI CONVERTIBLE,PCM,05017958AC,04606975AA,2000,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
93,99 LH 3.5L FED/CAN LH - INTREPID/CONCORDE/300M,PCM,"04606985AA, 04606985AB, 04606985AC, 04606985AD, 04606985AE, 05066079AA",04606985AF,1999,LH,LH - INTREPID/CONCORDE/300M,2,3.5L
94,2019 - 2024 DT BPCM NAFTA DT - RAM 1500 PICKUP,BPCM,"04610376AK, 04610376AL, 04610376AM, 04610376AN, 04610376AO, 04610376AP, 04610376AR, 04610376AS, 04610376AT",04610376AU,2019,DT,DT - RAM 1500 PICKUP,2,
96,2022 WS BPCM NAFTA EMEA,BPCM,"04610491AB, 04610491AC, 04610491AD, 04610491AE, 04610491AF, 04610491AG",04610491AI,2022,WS,,2,
97,97 JX 2.5L 50S JX - SEBRING JXI CONVERTIBLE,PCM,"04671259AA, 04671259AB, 04671259AC, 04671259AD, 04671259AE, 04671259AF, 04671259AG, 04671259AH, 05017955AA",04671259AI,1997,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
98,97 JX 2.4L 50S JX - SEBRING JXI CONVERTIBLE,PCM,"04671261AA, 04671261AB, 04671261AC, 05017955AA",04671261AD,1997,JX,JX - SEBRING JXI CONVERTIBLE,2,2.4L
99,98 JX 2.5L FED/CAN JX - SEBRING JXI CONVERTIBLE,PCM,"04671405AA, 04671405AB, 04671405AC, 04671405AD, 04671405AE, 04671405AF, 04671405AG, 04671405AH, 04671405AI, 04671405AJ, 04671405AK, 04671405AL, 04671405AM, 05017958AC",04671405AN,1998,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
100,98 JX 2.4L FED JX - SEBRING JXI CONVERTIBLE,PCM,"04671407AA, 04671407AB, 04671407AC, 04671407AD, 04671407AE, 04671407AF, 04671407AG, 04671407AH, 04671407AI, 04671407AJ, 04671407AK, 04671407AL, 05066123AB",04671407AM,1998,JX,JX - SEBRING JXI CONVERTIBLE,2,2.4L
101,98 JX 2.5L TLEV JX - SEBRING JXI CONVERTIBLE,PCM,"04671415AA, 04671415AB, 04671415AC, 04671415AD, 04671415AE, 04671415AF, 04671415AG, 04671415AH, 04671415AI, 04671415AJ, 04671415AK, 05017958AC",04671415AL,1998,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
102,98 JX 2.4L TLEV JX - SEBRING JXI CONVERTIBLE,PCM,"04671416AA, 04671416AB, 04671416AC, 04671416AD, 04671416AE, 04671416AF, 04671416AG, 04671416AH, 04671416AI, 04671416AJ, 05066123AB",04671416AK,1998,JX,JX - SEBRING JXI CONVERTIBLE,2,2.4L
103,99 JX 2.5L FED JX - SEBRING JXI CONVERTIBLE,PCM,"04671636AA, 04671636AB, 04671636AC, 04671636AD, 04671636AE, 04671636AF, 04671636AG, 05017958AC",04671636AH,1999,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
105,99 JX 2.5L TLEV JX - SEBRING JXI CONVERTIBLE,PCM,"04671637AA, 04671637AB, 04671637AC, 04671637AD, 04671637AE, 04671637AF, 04671637AG, 05017958AC",04671637AH,1999,JX,JX - SEBRING JXI CONVERTIBLE,2,2.5L
106,99 JX 2.0L AUTO FED JX - SEBRING JXI CONVERTIBLE,PCM,05066123AB,04671638AE,1999,JX,JX - SEBRING JXI CONVERTIBLE,2,2.0L
107,99 JX 2.0L AUTO CAL LEV,PCM,05066123AB,04671639AE,1999,,,0,2.0L
108,97 NS EATXIII FWD NS - CARAVAN/VOYAGER/T&C/LIMITED,TCM,"04686465AA, 04686465AB, 04686465AC, 04686465AD",04686465AE,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
109,98 NS EATXIIIA AWD / FWD NS - CARAVAN/VOYAGER/T&C/LIMITED,TCM,"04686707AC, 04686707AD, 04686707AE, 04686707AF, 04686707AG, 04686707AH, 04686707AI, 04686707AJ",04686707AK,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
110,99 NS EATX3A NS - CARAVAN/VOYAGER/T&C/LIMITED,TCM,04686760AC,04686760AD,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
111,99 NS EATX3A AUTOSTICK,TCM,04686761AC,04686761AD,1999,,,0,
112,99 PR EATX3A PR - PROWLER,TCM,"04686876AA, 04865033AF",04686876AB,1999,PR,PR - PROWLER,2,
113,2000 NS/GS NON-AUTOSTICK GS - VOYAGER (GRAZ),TCM,"04686952AC, 04686952AD",04686952AF,2000,GS,GS - VOYAGER (GRAZ),2,
114,2000 NS/GS AUTOSTICK GS - VOYAGER (GRAZ) NS - CARAVAN/VOYAGER/T&C/LIMITED NS - CARAVAN/VOYAGER/T&C/LIMITED NS - CARAVAN/VOYAGER/T&C/LIMITED,TCM,"04686953AC, 04686953AD",04686953AF,2000,"NS, GS","GS - VOYAGER (GRAZ), NS - CARAVAN/VOYAGER/T&C/LIMITED, NS - CARAVAN/VOYAGER/T&C/LIMITED, NS - CARAVAN/VOYAGER/T&C/LIMITED",6,
115,2005 LX/WK EGS52 TCM LX - 300 / MAGNUM / CHARGER,TCM,"04692390AA, 04692390AB, 04692390AC, 04692390AD, 04692390AE, 04692390AF, 04692390AG, 04692390AH",04692390AI,2005,LX,LX - 300 / MAGNUM / CHARGER,2,
116,2005 2006 LX WK WH SRT-8 EGS52 TCM LX - 300 / MAGNUM / CHARGER WG - GRAND CHEROKEE (STEYR) WH - GRAND CHEROKEE (STEYR) WJ - GRAND CHEROKEE WK - GRAND CHEROKEE WK - GRAND CHEROKEE,TCM,"04692392AA, 04692392AB, 04692392AC, 04692392AD, 04692392AE, 04692392AF, 04692392AG, 04692392AH, 04692392AI, 04692392AJ",04692392AK,"2005, 2006","WK, WG, WH, WJ, LX","LX - 300 / MAGNUM / CHARGER, WG - GRAND CHEROKEE (STEYR), WH - GRAND CHEROKEE (STEYR), WJ - GRAND CHEROKEE, WK - GRAND CHEROKEE, WK - GRAND CHEROKEE",18,
117,97 NS EATXIII AWD NS - CARAVAN/VOYAGER/T&C/LIMITED,TCM,"04727031AA, 04727031AB, 04727031AC",04727031AD,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
